occupancy_pct,R001_net_inr,R002_net_inr
10,-12811169.0,-12875969.0
15,-11923769.0,-11988569.0
20,-11036369.0,-11101169.0
25,-10148969.0,-10213769.0
30,-9261569.0,-9326369.0
35,-8374169.0,-8438969.0
40,-7486769.0,-7551569.0
45,-6599369.0,-6664169.0
50,-5711969.0,-5776769.0
55,-4824569.0,-4889369.0
60,-3937169.0,-4001969.0
65,-3049769.0,-3114569.0
70,-2162369.0,-2227169.0
75,-1274969.0,-1339769.0
80,-387569.0,-452369.0
85,499831.0,435031.0
90,1387231.0,1322431.0
95,2274631.0,2209831.0
100,3162031.0,3097231.0
